reaction	dGr	dGrSD
"r_0425"	-205.5692	41.9889
"r_0426"	-71.8395	14.2428
"r_0427"	-224.8047	38.2382
"r_0429"	-68.5231	13.9963
"r_0430"	-199.9679	41.9332
"r_0431"	-10.1611	1.937
"r_0432"	-10.1611	1.937
"r_0433"	-20.8364	7.6487
"r_0434"	-20.8364	7.6487
"r_0435"	-10.1598	1.937
"r_0436"	-10.1598	1.937
"r_0437"	-10.1611	1.937
"r_0438"	-16.2608	200000.0001
"r_0439"	-10.1611	1.937
"r_0440"	-10.1598	1.937
"r_0442"	-10.1512	1.937
"r_0443"	-10.1611	1.937
"r_0444"	-10.1611	1.937
"r_0464"	-68.5231	13.9963
"r_0465"	-68.5231	13.9963
"r_0466"	-71.6379	14.224
"r_0467"	-65.4082	14.1316
"r_0468"	81.0251	141421.3566
"r_0472"	-5.898	6.4603
"r_0473"	-5.898	6.4603
"r_0474"	-18.9996	6.0527
"r_0475"	-19.9028	6.0613
"r_0476"	-15.1632	5.4758
"r_0477"	-150.7468	9.0047
"r_0478"	-13.7716	4.7346
"r_0479"	-7.6789	2.8007
"r_0480"	-7.6789	2.8007
"r_0481"	-14.5173	4.6424
"r_0482"	-31.9548	3.4447
"r_0483"	-11.3123	1.0015
